Epoch,Training Loss,Validation Loss,Validation Rouge1,Validation Rouge2,Validation Rougel,Validation Rougelsum,Validation Bleu1,Validation Bleu2,Validation Bleu3,Validation Bleu4,Validation Bleu,Validation Meteor,Validation Bertscore F1,Validation Gen Len,Validation Runtime,Validation Samples Per Second,Validation Steps Per Second
1,5.7171,4.72922945022583,18.86,3.82,17.56,17.65,21.15,4.15,0.32,0.0,0.0,9.56,81.75,17.554285714285715,49.2021,3.557,0.224
2,4.6114,4.484646797180176,24.91,6.49,22.95,23.0,27.9,7.03,0.46,0.07,1.12,11.73,81.79,14.702857142857143,27.139,6.448,0.405
3,4.1761,4.15580940246582,29.44,9.39,27.28,27.33,30.51,9.27,0.99,0.18,2.23,16.47,83.08,17.05142857142857,34.3994,5.087,0.32
4,3.6242,2.8914270401000977,47.53,31.86,46.13,46.29,65.74,43.74,32.24,25.66,23.48,41.48,90.2,13.822857142857142,29.3403,5.965,0.375
5,1.8792,1.6446776390075684,55.82,40.76,53.25,53.41,67.95,49.16,39.95,33.47,35.16,53.21,92.22,16.125714285714285,31.9827,5.472,0.344
6,1.3194,1.5610401630401611,57.38,41.97,54.76,54.8,68.78,50.52,40.8,33.44,37.3,55.7,92.52,16.53142857142857,29.5901,5.914,0.372
7,1.0656,1.531830906867981,57.69,41.32,54.95,54.91,66.65,48.45,38.71,31.57,37.98,56.82,92.78,17.274285714285714,27.201,6.434,0.404
8,0.8458,1.6102638244628906,57.12,41.0,54.15,54.24,67.61,49.36,40.47,33.4,37.46,55.47,92.52,16.794285714285714,29.0799,6.018,0.378
9,0.6757,1.6455684900283813,56.42,40.09,53.66,53.68,66.07,47.78,38.57,31.64,37.11,55.09,92.51,17.13714285714286,31.8309,5.498,0.346
10,0.5581,1.7024022340774536,56.68,40.27,53.49,53.57,65.61,47.04,37.82,30.97,36.97,55.42,92.46,17.32,25.7747,6.79,0.427
